word,meanings,score
dacrylagnia,"《精神医学》泣哭性愛,《せいしんいがく》きゅうこくせいあい",0
dacryo-,"涙,なみだ",0
dacryoadenalgia,"涙腺痛,なみだせんつう",0
dacryoadenitis,"《病理》涙腺炎,《びょうり》なみだせんほのお_涙嚢炎,なみだのうほのお",0
dacryocyst,"《医》涙嚢,《い》なみだのう",0
dacryocystalgia,"涙嚢痛,なみだのうつう",0
dacryocystectomy,"涙嚢摘出術,なみだのうてきしゅつじゅつ",0
dacryocystitis,"《病理》涙嚢炎,《びょうり》なみだのうほのお",0
dacryocystoblennorrhea,"涙嚢膿漏,なみだのううみろう",0
dacryocystocele,"涙嚢ヘルニア,なみだのうへるにあ",0
dacryocystorhinostomy,"涙嚢鼻腔吻合術,なみだのうびこうふんごうじゅつ",0
dacryocystotomy,"《外科》涙嚢切開術,《げか》なみだのうせっかいじゅつ",0
dacryocyte,"涙滴赤血球,なみだしずくせっけっきゅう",0
dacryolith,"涙結石,なみだけっせき",0
dacryolithiasis,"《病理》涙結石症,《びょうり》なみだけっせきしょう",0
dacryon,"涙点,なみだてん",0
dacryops,"《病理》涙腺嚢腫,《びょうり》なみだせんのうしゅ",0
dacryorrhea,"《医》流涙過多,《い》りゅうなみだかた",0
dacryostenosis,"《病理》涙管閉鎖症,《びょうり》なみだかんへいさしょう",0
dacryphilia,"《精神医学》泣哭性愛,《せいしんいがく》きゅうこくせいあい",0
dactinomycin-induced,"ダクチノマイシン誘導［誘発・誘起・起因］(性)の,だくちのまいしんゆうどう［ゆうはつ・ゆうき・きいん］(せい)の_ダクチノマイシンに(よって)誘導［誘発・誘起・引き起こ］される,だくちのまいしんに(よって)ゆうどう［ゆうはつ・ゆうき・ひきおこ］される",0
dactyl,"《韻律》強弱弱格,《いんりつ》きょうじゃくじゃくかく",0
Dactyl,"《ギリシャ神話》ダクティル,《ぎりしゃしんわ》だくてぃる",0
dactylalgia,"指痛,ゆびつう",0
dactyledema,"《病理》指浮腫,《びょうり》ゆびふしゅ",0
dactyli,"指,ゆび",0
dactylic,"《韻律》強弱弱格の(詩),《いんりつ》きょうじゃくじゃくかくの(し)",0
dactylitis,"《病理》指炎,《びょうり》ゆびほのお",0
dactylo-,"指,ゆび_足指,あしゆび",0
dactylogram,"指紋,しもん",0
dactylography,"指紋学,しもんがく",0
dactylology,"〔聴覚障害者のための〕指話［手話］法,〔ちょうかくしょうがいしゃのための〕ゆびはなし［しゅわ］ほう",0
dactylomegaly,"《病理》巨指症,《びょうり》きょゆびしょう",0
dactylopodite,"《動物》指節,《どうぶつ》ゆびふし",0
Dactylopteridae,"《魚》セミホウボウ科,《さかな》せみほうぼうか",0
Dactylopteroidei,"《魚》セミホウボウ亜目,《さかな》せみほうぼうあめ",0
dactyloscopy,"指紋鑑定,しもんかんてい",0
Dactylosomatidae,"ダクチロソーマ科,だくちろそーまか",0
dactylospasm,"〔手・足の〕指のけいれん,〔て・あしの〕ゆびのけいれん",0
dactylus,"指節,ゆびふし",0
dad,"〈話〉パパ,〈はなし〉ぱぱ_お父さん,おとうさん_おやじ,おやじ",3
