word,meanings,score
tabescence,"痩削,そうさく_消耗,しょうもう",0
tabescent,"消耗性の,しょうもうせいの",0
tabetic,"《医》(脊髄)癆の［に関する］,《い》(せきずい)ろうの［にかんする］_《医》(脊髄)癆患者,《い》(せきずい)ろうかんじゃ",0
tabetiform,"脊髄癆状の,せきずいろうじょうの",0
tabid,"〈古〉《医》癆性の,〈こ〉《い》ろうせいの",0
tabify,"《コ》～のスペースをタブにする,《こ》～のすぺーすをたぶにする",0
tabla,"《音楽》タブラ,《おんがく》たぶら",0
tablao,"〈スペイン語〉タブラオ,〈すぺいんご〉たぶらお_〈スペイン語〉フラメンコショー,〈すぺいんご〉ふらめんこしょー_〈スペイン語〉フラメンコを踊るための板張り舞台,〈すぺいんご〉ふらめんこをおどるためのいたはりぶたい",0
Tablas,"タブラス島,たぶらすしま",0
Tablas Straits,"タブラス海峡,たぶらすかいきょう",0
table,"〔家具の〕テーブル,〔かぐの〕てーぶる_卓,すぐる_台,だい_食卓,しょくたく_〔食卓に出される〕食事,〔しょくたくにだされる〕しょくじ_食べ物,たべもの_飲み物,のみもの_〔食卓を囲んで〕食事をする人,〔しょくたくをかこんで〕しょくじをするにん_〔ルーレットなどの〕ゲーム台,〔るーれっとなどの〕げーむだい_台地,だいち_高原,こうげん_〔宝石のカットの〕テーブル,〔ほうせきのかっとの〕てーぶる_〔弦楽器の〕表板,〔げんがっきの〕おもていた_響板,きょうばん_《建築》〔文字などを刻む四角い〕額石,《けんちく》〔もじなどをきざむしかくい〕ひたいいし_《建築》〔外壁の〕飾り帯,《けんちく》〔がいへきの〕かざりおび_〔手相の〕火星平原,〔てそうの〕かせいへいげん_〔データの並びの〕表,〔でーたのならびの〕おもて_テーブル,てーぶる_〔目次の〕見出し,〔もくじの〕みだし_〔文字を書いた〕石版,〔もじをかいた〕せきばん_《解剖》〔頭蓋冠の〕外［内］板,《かいぼう》〔ずがいかんの〕そと［ない］いた_《tables》法律［律法］体系,《tables》ほうりつ［りつほう］たいけい_保留する,ほりゅうする_延期する,えんきする_後回しにする,あとまわしにする_見送る,みおくる_延ばす,のばす_持ち越す,もちこす_〔議案として法律を〕審議する,〔ぎあんとしてほうりつを〕しんぎする",1
Table Bay,"テーブル湾,てーぶるわん",0
Table For Five,"5人のテーブル,ごにんのてーぶる",0
table grade,"〔女性が〕非常にセクシーな,〔じょせいが〕ひじょうにせくしーな_〈米俗〉非常にセクシーな女,〈こめぞく〉ひじょうにせくしーなおんな",0
Table Mountain,"テーブル山,てーぶるやま",0
table-cut,"〔宝石が〕テーブルカットの,〔ほうせきが〕てーぶるかっとの",0
table-driven,"テーブル駆動の,てーぶるくどうの",0
table-ender,"〈俗〉女性がテーブルの上に寝ころんで男性が立って行うセックス,〈ぞく〉じょせいがてーぶるのじょうにねころんでだんせいがたっておこなうせっくす",0
table-flap,"折り板,おりいた",0
table-grade,"食卓用の,しょくたくようの",0
table-hop,"〔パーティーなどで〕テーブルからテーブルへと歩き回る,〔ぱーてぃーなどで〕てーぶるからてーぶるへとあるきまわる",0
table-setter,"《野球》チャンスメーカー,《やきゅう》ちゃんすめーかー",0
table-tennis,"卓球の,たっきゅうの",0
tableau,"〈フランス語〉絵画(のような描写),〈ふらんすご〉かいが(のようなびょうしゃ)_〈フランス語〉劇的な場面,〈ふらんすご〉げきてきなばめん",0
tableaux,"tableauの複数形,tableauのふくすうけい",0
tablecloth,"テーブル掛け,てーぶるかけ_テーブルクロス,てーぶるくろす",0
tableful,"一つのテーブルに座れる人数,ひとつのてーぶるにすわれるにんずう_一つのテーブルに並べられる料理の量,ひとつのてーぶるにならべられるりょうりのりょう",0
tableland,"台地,だいち_高原,こうげん_卓状地,すぐるじょうち",0
tablemate,"食事を共にする人,しょくじをともにするにん",0
tablemount,"《地学》平頂海山,《ちがく》たいらいただきうみやま",0
tablescape,"テーブルスケープ,てーぶるすけーぷ",0
